Wavelength,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
101.019000,151.289000,151.289000,130.487000,138.051000,147.507000,164.527000,141.834000,153.180000,132.378000,143.725000,119.140000,145.616000,156.962000,141.834000,121.031000,147.507000,130.487000,139.942000,124.813000,136.160000,160.745000,128.596000,138.051000,109.685000,117.249000,143.725000,164.527000,130.487000,147.507000,138.051000,132.378000,136.160000,126.705000,132.378000,132.378000,122.922000,138.051000,138.051000,124.813000,145.616000,147.507000,136.160000,139.942000,126.705000,149.398000,117.249000,134.269000,134.269000,128.596000,158.854000,145.616000,138.051000,111.576000,149.398000,136.160000,122.922000,132.378000,121.031000,124.813000,132.378000,122.922000,134.269000,102.120000,147.507000,155.071000,111.576000,138.051000,139.942000,141.834000,124.813000,139.942000,141.834000,141.834000,124.813000,147.507000,134.269000,128.596000,130.487000,141.834000,141.834000,145.616000,139.942000,145.616000,92.664600,149.398000,153.180000,151.289000,119.140000,132.378000,156.962000,141.834000,134.269000,158.854000,117.249000,145.616000,117.249000,130.487000,155.071000,128.596000,122.922000,130.487000
102.341000,183.473000,172.125000,147.535000,145.644000,147.535000,145.644000,153.210000,164.559000,124.838000,151.318000,138.078000,121.055000,124.838000,128.621000,124.838000,134.295000,134.295000,151.318000,147.535000,143.752000,113.489000,124.838000,134.295000,132.404000,115.380000,115.380000,141.861000,139.969000,128.621000,107.814000,151.318000,128.621000,151.318000,139.969000,149.427000,141.861000,138.078000,130.512000,122.946000,155.101000,134.295000,164.559000,122.946000,145.644000,121.055000,141.861000,147.535000,147.535000,119.163000,124.838000,147.535000,145.644000,130.512000,149.427000,139.969000,134.295000,128.621000,126.729000,147.535000,130.512000,109.706000,143.752000,121.055000,143.752000,158.884000,134.295000,141.861000,115.380000,151.318000,149.427000,130.512000,138.078000,122.946000,134.295000,151.318000,130.512000,122.946000,158.884000,134.295000,130.512000,139.969000,138.078000,145.644000,143.752000,124.838000,128.621000,119.163000,139.969000,126.729000,158.884000,130.512000,105.923000,136.186000,139.969000,121.055000,141.861000,141.861000,149.427000,124.838000,132.404000,149.427000
103.663000,175.942000,185.401000,139.996000,155.131000,162.699000,145.672000,170.266000,155.131000,113.511000,168.374000,170.266000,136.213000,149.456000,139.996000,111.619000,149.456000,124.862000,158.915000,151.348000,147.564000,113.511000,145.672000,139.996000,143.780000,136.213000,117.294000,138.105000,122.970000,128.645000,132.429000,138.105000,122.970000,100.268000,145.672000,143.780000,134.321000,104.051000,124.862000,149.456000,160.807000,155.131000,141.888000,124.862000,107.835000,136.213000,157.023000,122.970000,105.943000,121.078000,147.564000,158.915000,158.915000,147.564000,138.105000,126.754000,149.456000,162.699000,147.564000,136.213000,128.645000,121.078000,141.888000,141.888000,149.456000,158.915000,168.374000,130.537000,145.672000,158.915000,141.888000,138.105000,134.321000,172.158000,128.645000,134.321000,151.348000,145.672000,141.888000,130.537000,170.266000,124.862000,141.888000,147.564000,158.915000,121.078000,149.456000,111.619000,147.564000,136.213000,130.537000,151.348000,138.105000,155.131000,155.131000,136.213000,141.888000,134.321000,130.537000,149.456000,138.105000,139.996000
104.984000,202.466000,202.466000,141.916000,174.083000,122.994000,155.161000,153.269000,181.652000,174.083000,138.131000,132.455000,151.377000,160.838000,134.347000,132.455000,143.808000,130.562000,141.916000,145.700000,140.024000,145.700000,141.916000,149.485000,132.455000,155.161000,151.377000,124.886000,151.377000,155.161000,134.347000,155.161000,136.239000,128.670000,140.024000,162.730000,141.916000,153.269000,132.455000,158.946000,160.838000,136.239000,143.808000,128.670000,130.562000,130.562000,172.191000,158.946000,160.838000,134.347000,136.239000,124.886000,140.024000,143.808000,124.886000,115.425000,151.377000,147.592000,117.317000,134.347000,128.670000,158.946000,155.161000,145.700000,126.778000,140.024000,121.101000,143.808000,134.347000,153.269000,147.592000,126.778000,119.209000,126.778000,140.024000,147.592000,141.916000,151.377000,141.916000,140.024000,147.592000,158.946000,149.485000,136.239000,115.425000,140.024000,124.886000,121.101000,126.778000,160.838000,130.562000,151.377000,140.024000,153.269000,136.239000,151.377000,149.485000,130.562000,122.994000,138.131000,170.299000,153.269000
106.305000,198.720000,217.646000,187.365000,183.580000,164.654000,170.332000,181.687000,172.224000,153.299000,141.943000,164.654000,160.869000,151.406000,170.332000,138.158000,155.191000,138.158000,151.406000,149.513000,155.191000,157.084000,151.406000,168.439000,126.803000,130.588000,143.836000,143.836000,168.439000,136.265000,151.406000,119.232000,168.439000,136.265000,143.836000,143.836000,134.373000,149.513000,136.265000,145.728000,136.265000,147.621000,160.869000,168.439000,149.513000,151.406000,134.373000,147.621000,138.158000,138.158000,141.943000,132.480000,128.695000,155.191000,121.125000,128.695000,153.299000,141.943000,111.662000,151.406000,123.017000,132.480000,149.513000,136.265000,147.621000,145.728000,143.836000,145.728000,174.117000,151.406000,128.695000,170.332000,145.728000,141.943000,164.654000,151.406000,145.728000,143.836000,134.373000,155.191000,124.910000,141.943000,147.621000,149.513000,160.869000,140.051000,109.769000,158.976000,123.017000,147.621000,149.513000,153.299000,155.191000,128.695000,132.480000,134.373000,141.943000,136.265000,183.580000,130.588000,132.480000,113.555000
107.626000,240.403000,196.866000,187.401000,193.080000,187.401000,189.294000,194.973000,183.615000,151.435000,181.722000,159.007000,160.900000,155.221000,172.258000,160.900000,172.258000,168.472000,155.221000,107.898000,153.328000,134.399000,141.971000,155.221000,107.898000,132.506000,128.720000,132.506000,151.435000,130.613000,123.041000,141.971000,162.793000,145.756000,138.185000,147.649000,123.041000,155.221000,155.221000,168.472000,155.221000,153.328000,145.756000,128.720000,141.971000,172.258000,176.044000,141.971000,145.756000,183.615000,160.900000,143.864000,159.007000,157.114000,157.114000,136.292000,128.720000,138.185000,151.435000,123.041000,166.579000,134.399000,128.720000,140.078000,140.078000,159.007000,151.435000,153.328000,136.292000,138.185000,143.864000,138.185000,126.827000,159.007000,145.756000,126.827000,164.686000,149.542000,151.435000,166.579000,174.151000,109.791000,160.900000,119.255000,162.793000,138.185000,143.864000,160.900000,155.221000,136.292000,147.649000,141.971000,126.827000,149.542000,147.649000,147.649000,151.435000,138.185000,155.221000,130.613000,128.720000,147.649000
108.947000,265.063000,208.264000,195.011000,212.050000,183.651000,195.011000,193.117000,177.971000,202.584000,166.611000,164.718000,177.971000,151.465000,174.184000,176.078000,172.291000,153.358000,151.465000,172.291000,155.251000,151.465000,155.251000,138.211000,138.211000,147.678000,155.251000,153.358000,140.105000,166.611000,143.891000,149.571000,170.398000,187.437000,143.891000,147.678000,153.358000,166.611000,162.824000,145.785000,168.504000,170.398000,166.611000,166.611000,151.465000,143.891000,141.998000,155.251000,136.318000,140.105000,140.105000,159.038000,140.105000,170.398000,151.465000,159.038000,159.038000,140.105000,136.318000,138.211000,151.465000,121.172000,136.318000,153.358000,155.251000,170.398000,170.398000,147.678000,141.998000,191.224000,164.718000,141.998000,162.824000,140.105000,121.172000,162.824000,191.224000,183.651000,145.785000,160.931000,143.891000,147.678000,153.358000,151.465000,162.824000,123.065000,117.385000,151.465000,153.358000,157.144000,141.998000,149.571000,151.465000,170.398000,140.105000,147.678000,138.211000,145.785000,157.144000,138.211000,153.358000,155.251000
110.268000,274.582000,253.752000,238.603000,242.390000,191.261000,231.028000,198.836000,208.304000,212.091000,185.580000,187.474000,183.686000,187.474000,159.068000,202.623000,168.537000,155.281000,172.324000,166.643000,134.451000,145.813000,153.387000,147.706000,147.706000,168.537000,159.068000,149.600000,143.919000,134.451000,164.749000,147.706000,181.793000,157.175000,162.856000,157.175000,155.281000,140.132000,157.175000,195.048000,151.494000,160.962000,162.856000,143.919000,178.005000,138.238000,160.962000,136.344000,162.856000,159.068000,149.600000,159.068000,160.962000,160.962000,147.706000,170.430000,147.706000,140.132000,109.833000,166.643000,157.175000,174.218000,153.387000,166.643000,181.793000,153.387000,136.344000,162.856000,174.218000,162.856000,126.876000,160.962000,181.793000,181.793000,168.537000,153.387000,162.856000,176.112000,187.474000,172.324000,170.430000,176.112000,143.919000,183.686000,159.068000,134.451000,124.982000,179.899000,157.175000,151.494000,166.643000,157.175000,166.643000,149.600000,147.706000,176.112000,138.238000,162.856000,157.175000,151.494000,166.643000,149.600000
111.588000,320.092000,265.165000,270.847000,232.967000,204.556000,212.132000,217.814000,214.026000,189.404000,176.146000,174.251000,225.391000,198.874000,172.357000,162.887000,178.040000,166.675000,149.629000,164.781000,172.357000,183.722000,178.040000,157.205000,143.947000,193.192000,132.583000,145.841000,143.947000,149.629000,172.357000,159.099000,155.311000,191.298000,193.192000,160.993000,166.675000,170.463000,179.934000,170.463000,164.781000,178.040000,174.251000,189.404000,160.993000,200.768000,153.417000,138.265000,172.357000,149.629000,159.099000,157.205000,162.887000,183.722000,187.510000,178.040000,185.616000,160.993000,143.947000,187.510000,145.841000,170.463000,132.583000,159.099000,162.887000,166.675000,147.735000,172.357000,145.841000,189.404000,178.040000,172.357000,160.993000,187.510000,160.993000,147.735000,200.768000,151.523000,160.993000,178.040000,143.947000,149.629000,166.675000,183.722000,164.781000,166.675000,147.735000,176.146000,160.993000,187.510000,140.159000,176.146000,160.993000,174.251000,172.357000,159.099000,170.463000,130.689000,145.841000,160.993000,193.192000,160.993000
112.908000,405.402000,289.844000,293.633000,282.266000,234.906000,225.434000,225.434000,251.956000,212.173000,223.540000,234.906000,215.962000,227.328000,210.279000,200.807000,195.124000,204.596000,185.652000,172.391000,178.074000,179.968000,198.912000,157.236000,179.968000,170.496000,162.919000,179.968000,179.968000,143.975000,219.751000,197.018000,193.229000,233.012000,159.130000,179.968000,164.813000,183.757000,195.124000,185.652000,187.546000,204.596000,159.130000,198.912000,149.658000,172.391000,195.124000,172.391000,202.701000,193.229000,183.757000,149.658000,170.496000,143.975000,200.807000,172.391000,193.229000,149.658000,170.496000,178.074000,172.391000,149.658000,174.285000,187.546000,214.068000,183.757000,174.285000,181.863000,181.863000,164.813000,166.708000,187.546000,215.962000,189.440000,206.490000,204.596000,191.335000,176.180000,206.490000,185.652000,183.757000,195.124000,178.074000,174.285000,189.440000,168.602000,178.074000,183.757000,159.130000,153.447000,164.813000,172.391000,162.919000,159.130000,174.285000,193.229000,155.341000,178.074000,193.229000,159.130000,162.919000,174.285000
